Job title,Business Group,Job location,Country of work,Job category,Responsibilities,Link to where the specific job is posted.
WXG04-微信小游戏开发工具后台开发工程师,WXG,深圳,中国,技术,微信小游戏开发工具是为业余开发者提供的一款简单又强大的小游戏开发工具，纯Web IDE，地址是 http://gm.weixin.qq.com. 已经有大量业余开发者通过我们的工具开发出了不同类型的小游戏。我们工具的意义是为了让更多的人可以通过小游戏来表达自己的创意，丰富微信小游戏生态。这里的后台工作是支撑小游戏开发工具，社区，开发平台相关内容。,http://careers.tencent.com/jobdesc.html?postId=1424618024396136448
22989-腾讯云编程语言虚拟机/编译器高级工程师（深圳、上海、北京、杭州）,CSIG,北京,中国,技术,针对腾讯云业务，对JDK/Golang runtime/Javascript runtime等编程语言虚拟机/运行时进行定制化研发，优化与设计工作，保障腾讯云产品及业务在性能，稳定性，安全性，技术前瞻性以及多平台支持方面的需求，同时积极参与开源社区贡献，维护腾讯开源社区的技术影响力。,http://careers.tencent.com/jobdesc.html?postId=1424556800878845952
TEG09-linux系统研发工程师,TEG,深圳,中国,技术,"负责linux发行版的研发和运营，包括但不限于：
linux母盘研发，定制和更新；linux发行版的运营，解决业务使用linux发行版遇到的问题，并给出技术指导；
提升linux发行版的可用性、稳定性、可运营优化；
根据业务需要引入开源社区成果，跟踪开源社区最新发展，对开源社区反馈发行版研发成果。",http://careers.tencent.com/jobdesc.html?postId=1163616715439869952
TEG09-云存储资深研发工程师（北京）,TEG,北京,中国,技术,"负责业界云存储前沿技术的预研和应用；
 负责研发云存储相关模块以及周边业务模块；
 负责云存储后台系统的维护与运营工作。",http://careers.tencent.com/jobdesc.html?postId=1402807561043845120
TEG09-云数据库研发高级工程师/Tech Lead（上海）,TEG,上海,中国,技术,"腾讯云原生数据库团队为腾讯云以及腾讯内部业务提供业界领先的企业级MySQL数据库以及云原生数据库服务，运营着腾讯规模最大的关系型数据库集群；
负责超大规模下的数据库资源调度、监控、备份回档、故障自愈、资源隔离、智能网关等管控平台模块的研发和运营，提升稳定性和数据安全，保障客户体验；
负责自治数据库产品（CDBTune智能参数调优、SQL优化、索引推荐、装箱调度等）的研发和运营，提升数据库自治能力。
负责云原生数据库CynosDB架构的设计和演进，设计和研发基于云原生的数据库查询处理、存储引擎等核心系统，打造业界领先的云原生数据库产品；
负责云数据库前沿技术的预研和应用，参与开源社区的合作，提升社区影响力。",http://careers.tencent.com/jobdesc.html?postId=1402807953823637504
TEG09-云数据库研发高级工程师/Tech Lead（深圳）,TEG,深圳,中国,技术,"腾讯云原生数据库团队为腾讯云以及腾讯内部业务提供业界领先的企业级MySQL数据库以及云原生数据库服务，运营着腾讯规模最大的关系型数据库集群；
负责超大规模下的数据库资源调度、监控、备份回档、故障自愈、资源隔离、智能网关等管控平台模块的研发和运营，提升稳定性和数据安全，保障客户体验；
负责自治数据库产品（CDBTune智能参数调优、SQL优化、索引推荐、装箱调度等）的研发和运营，提升数据库自治能力。
负责云原生数据库CynosDB架构的设计和演进，设计和研发基于云原生的数据库查询处理、存储引擎等核心系统，打造业界领先的云原生数据库产品；
负责云数据库前沿技术的预研和应用，参与开源社区的合作，提升社区影响力。",http://careers.tencent.com/jobdesc.html?postId=1402807951630016512
TEG09-云数据库研发高级工程师/Tech Lead（北京）,TEG,北京,中国,技术,"腾讯云原生数据库团队为腾讯云以及腾讯内部业务提供业界领先的企业级MySQL数据库以及云原生数据库服务，运营着腾讯规模最大的关系型数据库集群；
负责超大规模下的数据库资源调度、监控、备份回档、故障自愈、资源隔离、智能网关等管控平台模块的研发和运营，提升稳定性和数据安全，保障客户体验；
负责自治数据库产品（CDBTune智能参数调优、SQL优化、索引推荐、装箱调度等）的研发和运营，提升数据库自治能力。
负责云原生数据库CynosDB架构的设计和演进，设计和研发基于云原生的数据库查询处理、存储引擎等核心系统，打造业界领先的云原生数据库产品；
负责云数据库前沿技术的预研和应用，参与开源社区的合作，提升社区影响力。",http://careers.tencent.com/jobdesc.html?postId=1402807952728924160
TEG09-云数据库研发高级工程师/Tech Lead（武汉）,TEG,武汉,中国,技术,"腾讯云原生数据库团队为腾讯云以及腾讯内部业务提供业界领先的企业级MySQL数据库以及云原生数据库服务，运营着腾讯规模最大的关系型数据库集群；
负责超大规模下的数据库资源调度、监控、备份回档、故障自愈、资源隔离、智能网关等管控平台模块的研发和运营，提升稳定性和数据安全，保障客户体验；
负责自治数据库产品（CDBTune智能参数调优、SQL优化、索引推荐、装箱调度等）的研发和运营，提升数据库自治能力。
负责云原生数据库CynosDB架构的设计和演进，设计和研发基于云原生的数据库查询处理、存储引擎等核心系统，打造业界领先的云原生数据库产品；
负责云数据库前沿技术的预研和应用，参与开源社区的合作，提升社区影响力。",http://careers.tencent.com/jobdesc.html?postId=1402807954926739456
TME-全民K歌平台iOS工程师（深圳）,TME,深圳,中国,技术,"负责iOS平台上全民K歌APP的开发工作；
与产品、测试及其他团队协作，分析产品需求，制定技术方案，攻克技术难题；
新技术研究和引入。",http://careers.tencent.com/jobdesc.html?postId=0
41074-腾讯云中小企业产品后端研发工程师（CSIG全资子公司）,CSIG,长沙,中国,技术,"1. 负责腾讯云域名产品（DNSPod）或 备案系统 或 DiscuzQ 或 开源应用中心SAAS化平台后端开发；
2. 负责相应产品系统的方案设计、性能优化、日常维护等工作。

注：""此岗位为腾讯集团旗下全资子公司编制岗位""",http://careers.tencent.com/jobdesc.html?postId=1240853874814750720
37873-cloudvr windows客户端开发(深圳）,IEG,深圳,中国,技术,"负责腾讯CloudVR平台建设和体验优化，
（1）基于OpenXR实现云端虚拟驱动，包括取图、编解码、网络传输相关工作；
（2）负责OpenXR Runtime开发和上云，以及技术打磨工作；
（3）负责UE或Unity VR Plugin的开发与维护工作；",http://careers.tencent.com/jobdesc.html?postId=1424723292329091072
41071-腾讯会议并行计算优化高级工程师-专项R,CSIG,深圳,中国,技术,"1. 基于CPU/GPU/DSP/NPU平台，对机器学习算法进行性能优化、基础算法库设计；
2. 跟踪机器学习算法、高性能异构计算领域技术发展，为机器学习平台提出创新构想，推动机器学习平台性能提升；
3. 负责将机器学习算法移植到腾讯会议各个平台和产品线，提升产品的质量、性能和稳定性。",http://careers.tencent.com/jobdesc.html?postId=1402533405404438528
TEG04-腾讯内部技术社区后台开发(深圳),TEG,深圳,中国,技术,"负责技术社区产品的相关设计、编码实现等；
保证系统的稳定性和高可用；
现有系统的线上运维，提升系统的性能及安全
",http://careers.tencent.com/jobdesc.html?postId=1402873846561775616
TEG11-广告算法专家/leader（深圳/北京）,TEG,北京,中国,技术,"1. 负责腾讯多场景搜索广告系统的基础算法和策略研究
2. 使用最新的深度学习技术，提升广告CTR/CVR模型预估精度
3. 提高在线广告的相关度、用户体验、投放效果及变现能力
4. 从海量数据中，挖掘用户与客户的意图兴趣和向量表达，优化搜索广告触发、定向、召回等各个阶段的效果",http://careers.tencent.com/jobdesc.html?postId=1348455804629426176
TEG03-深度/机器学习研发工程师（深圳/北京）,TEG,北京,中国,技术,"1. 负责大规模分布式广告推荐系统设计、开发和调优工作；
2. 自研分布式推荐系统/机器学习/深度学习框架； 
3. 优化主流深度学习框架（如tensorflow）以满足广告推荐业务需求 ；
4. 深入业务的流程，制定应用与推荐系统/机器学习/深度学习技术的优化方案；
5. 负责机器学习平台的建设。",http://careers.tencent.com/jobdesc.html?postId=0
40164-NXS 客户端程序(上海),IEG,上海,中国,技术,"负责动作射击游戏玩法相关内容的研发；
产品需求的技术可行性评估, 程序框架及技术方案的设计和具体实现；
协助美术/策划建立高效的游戏内容制作流程, 完善并持续优化工具链。",http://careers.tencent.com/jobdesc.html?postId=0
TEG11-数据挖掘高级研究员（深圳）,TEG,深圳,中国,技术,负责面向海量数据的自然语言处理、数据挖掘技术的研究与开发，结合多模态内容理解，挖掘特征、设计策略，提升业务效果。,http://careers.tencent.com/jobdesc.html?postId=0
28481-腾讯医疗数据中台前端开发（深圳/北京）,CSIG,深圳,中国,技术,"1.负责公司的核心业务系统前端团队搭建及管理，负责团队的Scrum流程推进和优化。
2.带领前端团队，与设计团队，产品团队紧密合作，打造业界领先的大数据分析BI产品。
3.负责前端各模块的代码开发，参与包括Web及Mobile等多平台的应用开发，保持平台的易用性及用户体验的持续改进。
4.负责优化团队前后端的低耦合架构，保证团队开发效率及产品输出质量。",http://careers.tencent.com/jobdesc.html?postId=1224961380331819008
18425-企业外汇交易研发工程师,CDG,深圳,中国,技术,"负责境内外的企业外汇服务交易系统设计和开发。
",http://careers.tencent.com/jobdesc.html?postId=1331414085111128064
CSIG16-位置服务出行方向iOS高级研发工程师,CSIG,北京,中国,技术,"负责腾讯出行服务相关需求的开发和维护；
负责优化代码和性能调优；
负责行业相关的新技术调研与落地；",http://careers.tencent.com/jobdesc.html?postId=1424557251871383552
CSIG16-前端研发工程师,CSIG,北京,中国,技术,"1、负责腾讯位置服务web产品研发;
2、负责位置服务的PAAS、SAAS产品设计和研发工作;
3、主导相关产品的前端架构设计和评审，参与项目的技术攻坚和优化;
4、参与系统文档的撰写、维护。",http://careers.tencent.com/jobdesc.html?postId=1390877310139244544
"41072-云监控产品后台开发Tech Lead（CSIG全资子公司）（西安）	",CSIG,西安,中国,技术,1. 负责腾讯云监控产品后台架构设计和研发； 2. 参与后台开发框架、组件库、工程化等基础能力建设；3. 负责团队建设，建立研发梯队和团队工作规划。,http://careers.tencent.com/jobdesc.html?postId=1424552336155484160
WXG02-微信视频号后台开发工程师（广州/深圳）,WXG,广州,中国,技术,"1. 视频号直播基础功能、玩法体验等系统的搭建与优化；
2. 视频号基础功能、运营体系、用户增长体系开发与优化；
3. 视频号 feed 流基础体验优化与性能优化。",http://careers.tencent.com/jobdesc.html?postId=1395636466033369088
WXG07-广研-QQ邮箱web前端开发工程师,WXG,广州,中国,技术,"1. 负责「QQ 邮箱」各类前端项目(Web&Webview、小程序、微信插件、浏览器插件等)的开发工作，也可承担部门下新产品的研发工作；
2. 支持前端工程化建设、前端项目性能优化等；
2. 不断打磨邮箱下各个子业务的产品功能，提供更优质的服务给到用户；",http://careers.tencent.com/jobdesc.html?postId=1402658690758090752
29569-VB业务web前端高级开发工程师,CDG,深圳,中国,技术,"负责富融银行APP贷款业务和微信香港钱包易贷业务的前端开发。
能够独立的需求分析、方案评审以及模块的架构设计，对模块的代码有强有力的质量保证。
能够根据业务的发展，不断的优化自身的模块，来更有力的支撑业务发展。
和行业的技术发展保持关注，对于行业先进技术进行系统化的研究后，再恰当的引入到系统中来，保持项目的技术先进性。
",http://careers.tencent.com/jobdesc.html?postId=0
